[ 2016-08-23T16:44:18+08:00 ] /WEIBO/ | ERR: (ThinkException) 无法加载模块Index
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.141589s ]
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.000907s ]
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.000962s ]
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001118s ]
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.001170s ]
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009308s ]
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.000985s ]
[ 2016-08-23T16:44:34+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.001072s ]
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.005813s ]
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.005908s ]
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001629s ]
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001690s ]
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.005184s ]
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.005306s ]
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-08-23T16:45:12+08:00 ] /WEIBO/index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
