[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.001132s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.001194s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000939s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.001207s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004711s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.001576s ]
[ 2016-08-21T23:44:26+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.001661s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.002075s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.002220s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001661s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001746s ]
